,날짜,활성사용자,웰컴 및 event 수신 제외 활성사용자,신규 사용자,재방문사용자,누적사용자,전체 세션 수,세션 당 평균 메시지 수,친구수,채널 추가수 합계,채팅 요청 친구수
0,2020-01-09,1,1,1,0,1,2,2.0,1,1,1
1,2020-01-10,0,0,0,0,1,0,0.0,1,0,0
2,2020-01-11,0,0,0,0,1,0,0.0,1,0,0
3,2020-01-12,1,1,0,1,1,1,1.0,1,0,1
4,2020-01-13,1,1,1,0,2,1,3.0,1,0,1
5,2020-01-14,1,1,0,1,2,1,3.0,1,0,1
6,2020-01-15,0,0,0,0,2,0,0.0,1,0,0
7,2020-01-16,8,7,7,1,9,9,3.56,7,6,7
8,2020-01-17,1,1,0,1,9,1,14.0,7,0,1
9,2020-01-18,0,0,0,0,9,0,0.0,7,0,0
10,2020-01-19,1,1,1,0,10,1,4.0,7,0,1
11,2020-01-20,1,1,0,1,10,1,3.0,7,0,1
12,2020-01-21,1,1,0,1,10,1,2.0,7,0,1
13,2020-01-22,1,1,0,1,10,1,1.0,7,0,1
14,2020-01-23,0,0,0,0,10,0,0.0,7,0,0
15,2020-01-24,0,0,0,0,10,0,0.0,7,0,0
16,2020-01-25,0,0,0,0,10,0,0.0,7,0,0
17,2020-01-26,1,1,0,1,10,2,2.0,7,0,1
18,2020-01-27,0,0,0,0,10,0,0.0,7,0,0
19,2020-01-28,19,16,18,1,28,32,3.94,20,13,15
20,2020-01-29,19,19,9,10,37,41,4.32,27,7,18
21,2020-01-30,29,25,21,8,58,42,3.36,44,17,21
22,2020-01-31,10,10,4,6,62,14,2.93,47,3,10
23,2020-02-01,6,6,2,4,64,10,3.0,49,2,5
24,2020-02-02,7,7,1,6,65,9,3.11,49,0,7
25,2020-02-03,37,34,26,11,91,45,3.29,74,25,32
26,2020-02-04,32,32,14,18,105,42,2.1,83,9,31
27,2020-02-05,32,32,11,21,116,48,2.63,89,6,31
28,2020-02-06,40,40,10,30,126,50,1.88,97,8,33
29,2020-02-07,30,30,3,27,129,42,1.5,100,3,28
30,2020-02-08,7,7,4,3,133,7,5.0,104,4,7
31,2020-02-09,3,3,0,3,133,4,1.0,104,0,2
32,2020-02-10,24,24,4,20,137,30,1.57,108,4,23
33,2020-02-11,32,31,4,28,141,49,1.71,111,3,29
34,2020-02-12,33,32,14,19,155,50,2.36,125,14,30
35,2020-02-13,77,67,45,32,200,125,2.23,169,44,64
36,2020-02-14,46,44,11,35,211,59,1.63,180,11,42
37,2020-02-15,10,10,2,8,213,11,2.0,181,1,10
38,2020-02-16,2,2,0,2,213,2,1.0,181,0,2
39,2020-02-17,40,40,2,38,215,89,2.48,183,2,38
40,2020-02-18,48,47,6,42,221,70,2.0,189,6,41
41,2020-02-19,45,44,8,37,229,98,2.51,193,4,43
42,2020-02-20,40,40,3,37,232,47,1.81,194,1,35
43,2020-02-21,28,28,1,27,233,53,2.02,194,0,25
44,2020-02-22,5,5,1,4,234,5,2.4,194,1,5
45,2020-02-23,2,2,0,2,234,2,1.5,194,0,1
46,2020-02-24,34,34,3,31,237,55,2.02,195,1,30
47,2020-02-25,35,34,6,29,243,60,2.08,201,6,33
48,2020-02-26,32,32,4,28,247,53,1.91,204,4,28
49,2020-02-27,30,30,1,29,248,35,1.49,205,1,27
50,2020-02-28,24,24,2,22,250,31,1.9,207,2,22
51,2020-02-29,5,5,0,5,250,5,2.4,207,0,5
52,2020-03-01,5,5,0,5,250,5,1.6,207,0,5
53,2020-03-02,28,28,3,25,253,34,1.44,208,1,25
54,2020-03-03,31,31,1,30,254,44,1.48,209,1,27
55,2020-03-04,36,36,5,31,259,40,2.02,213,4,33
56,2020-03-05,33,33,4,29,263,40,1.85,215,2,32
57,2020-03-06,33,33,5,28,268,57,1.21,220,5,29
58,2020-03-07,7,7,0,7,268,7,4.0,220,0,7
59,2020-03-08,5,5,2,3,270,6,2.5,222,2,4
60,2020-03-09,38,38,3,35,273,44,1.59,224,2,36
61,2020-03-10,34,34,3,31,276,42,1.33,226,3,25
62,2020-03-11,43,43,3,40,279,57,1.79,228,2,37
63,2020-03-12,40,40,1,39,280,65,1.58,229,1,40
64,2020-03-13,42,42,3,39,283,48,1.42,230,1,38
65,2020-03-14,5,5,2,3,285,8,4.13,231,2,5
66,2020-03-15,1,1,0,1,285,2,1.0,231,0,1
67,2020-03-16,36,36,1,35,286,44,1.25,231,0,34
68,2020-03-17,50,50,1,49,287,54,1.52,232,1,46
69,2020-03-18,44,44,3,41,290,52,1.42,234,2,40
70,2020-03-19,44,44,3,41,293,67,2.25,234,0,39
71,2020-03-20,39,39,2,37,295,67,2.94,236,2,36
72,2020-03-21,5,5,0,5,295,5,1.2,236,0,5
73,2020-03-22,2,2,0,2,295,2,1.0,236,0,2
74,2020-03-23,43,43,2,41,297,58,1.63,237,1,39
75,2020-03-24,46,46,4,42,301,63,1.62,240,3,44
76,2020-03-25,38,38,1,37,302,42,1.31,240,0,31
77,2020-03-26,40,40,4,36,306,43,1.65,242,2,35
78,2020-03-27,37,37,1,36,307,53,1.66,243,1,32
79,2020-03-28,0,0,0,0,307,0,0.0,243,0,0
80,2020-03-29,2,2,1,1,308,2,2.0,243,0,2
81,2020-03-30,42,42,2,40,310,73,1.81,244,1,40
82,2020-03-31,43,43,1,42,311,60,1.35,245,1,35
83,2020-04-01,42,42,2,40,313,45,1.49,247,2,33
84,2020-04-02,45,45,4,41,317,53,1.38,250,3,40
85,2020-04-03,0,43,0,0,317,58,1.66,255,5,37
86,2020-04-04,0,3,0,0,317,3,2.0,256,1,3
87,2020-04-05,0,0,0,0,317,0,0.0,256,0,0
88,2020-04-06,0,47,0,0,317,51,1.35,258,2,40
89,2020-04-07,0,45,0,0,317,80,1.56,258,0,41
90,2020-04-08,0,50,0,0,317,56,1.52,261,3,43
91,2020-04-09,0,44,0,0,317,49,1.45,262,1,38
92,2020-04-10,0,42,0,0,317,95,2.18,266,4,38
93,2020-04-11,0,2,0,0,317,2,2.0,266,0,2
94,2020-04-12,0,1,0,0,317,1,1.0,266,0,1
95,2020-04-13,0,44,0,0,317,75,1.37,266,0,37
96,2020-04-14,0,36,0,0,317,64,1.91,266,0,33
97,2020-04-15,0,9,0,0,317,12,1.42,266,0,8
98,2020-04-16,0,49,0,0,317,83,1.43,270,4,47
99,2020-04-17,0,37,0,0,317,67,1.63,271,1,33
100,2020-04-18,0,1,0,0,317,1,1.0,271,0,1
101,2020-04-19,0,1,0,0,317,1,1.0,271,0,0
102,2020-04-20,0,45,0,0,317,61,1.54,272,1,41
103,2020-04-21,0,38,0,0,317,44,1.59,274,2,34
104,2020-04-22,0,45,0,0,317,55,1.38,275,1,41
105,2020-04-23,0,45,0,0,317,57,1.28,275,0,40
106,2020-04-24,0,36,0,0,317,66,1.52,276,1,33
107,2020-04-25,0,2,0,0,317,3,1.67,276,0,2
108,2020-04-26,0,0,0,0,317,0,0.0,276,0,0
109,2020-04-27,0,48,0,0,317,57,1.46,277,1,45
110,2020-04-28,0,32,0,0,317,42,1.29,278,1,25
111,2020-04-29,0,28,0,0,317,30,1.23,278,0,24
112,2020-04-30,0,5,0,0,317,5,1.4,278,0,5
113,2020-05-01,0,21,0,0,317,37,1.43,278,0,20
114,2020-05-02,0,2,0,0,317,2,1.0,278,0,2
115,2020-05-03,0,4,0,0,317,4,4.25,279,1,3
116,2020-05-04,0,27,0,0,317,44,1.66,283,4,23
117,2020-05-05,0,6,0,0,317,6,2.5,283,0,7
118,2020-05-06,0,33,0,0,317,38,1.26,284,1,31
119,2020-05-07,0,39,0,0,317,48,1.19,285,1,35
120,2020-05-08,0,36,0,0,317,43,1.49,286,1,32
